Test,Name,Pictures,Color,Category,Unit Value,Last Inventory Quantity,Total value last inventory,Date Last Inventory,Total consumption,Total Stock,Threshold Alarm,Check Stock,Total Value,Threshold total Value,Check total Value,Storage activities,Storage activities,Total Stock last item,DashBoardConf
BAGTISSUECOLOR1,Bag hand made colored Tissue 1,BagTissuColor1.jpg (https://dl.airtable.com/.attachments/98ea75b33dca6e77e834c986bda9e60c/5b6e6d40/BagTissuColor1.jpg),"yellow,black,green,Orange",Bag,$ 30,15,$450,2020-01-01,15,15,10,✔️ Stock Ok,$450,$500,💲 Value OK,,,,
BAGTISSUECOLOR2,Backpack made Tissue 2,BagTissuColor2.jpg (https://dl.airtable.com/.attachments/4adba60f1eb467a6324b22a04e47025e/7ee6dcbc/BagTissuColor2.jpg),"yellow,black,green,white,Orange",Bag,$ 32,12,$384,2020-01-01,12,12,10,✔️ Stock Ok,$384,$500,💲 Value OK,,,,
BAGTISSUECOLOR3,Backpack made Tissue 3,BagTissuColor3.jpg (https://dl.airtable.com/.attachments/2e26732a45a348b2357d4a3cf640474e/5ab71260/BagTissuColor3.jpg),"yellow,black,green,white,Orange",Bag,$ 31,4,$124,2020-01-01,4,4,10,💣 Critical Stock,$124,$200,💲 Value OK,,,,
HANDBAGGREENSTRONG,Bag hand green,Handbacgreenstrong1.jpg (https://dl.airtable.com/.attachments/9998b5be003f4df08a558d96037c3bf2/e07b9e6f/Handbacgreenstrong1.jpg),"green,white,black",Bag,$ 35,2,$70,2020-01-01,2,2,5,💣 Critical Stock,$70,$200,💲 Value OK,,,,
HANDBAGBRAUNSTRONG1,Bag hand braun,Handbackbraunstrong1.jpg (https://dl.airtable.com/.attachments/297ffcd1ba341c6ce2430fee398b4f8b/81ebea44/Handbackbraunstrong1.jpg),"braun,Red,black",Bag,$ 35,3,$105,2020-01-01,3,3,5,💣 Critical Stock,$105,$200,💲 Value OK,,,,
HANDBAGGHANASTYL1,Bag Ghana Style 1,HandbackGhanaStyl1.jpg (https://dl.airtable.com/.attachments/22873c3c2be99fc6f365f9844f3b7843/e796e39a/HandbackGhanaStyl1.jpg),"Red,yellow,blue",Bag,$ 40,15,$600,2020-01-01,15,15,10,✔️ Stock Ok,$600,$500,⚠ Value High ⚠,,,,
HANDBAGGHANASTYL2,Bag Ghana Style 2,HandbackGhanaStyl2.jpg (https://dl.airtable.com/.attachments/e171334f4b0cf35c498a1192a8c58921/3524fdbf/HandbackGhanaStyl2.jpg),"Red,yellow,blue,Orange,braun",Bag,$ 40,12,$480,2020-01-01,12,12,10,✔️ Stock Ok,$480,$500,💲 Value OK,,,,
HANDBAGGHANASTYL3,Bag Ghana Style 3,HandbackGhanaStyl3.jpg (https://dl.airtable.com/.attachments/859c7fb638308ff98d2118eb370b0f5b/35716038/HandbackGhanaStyl3.jpg),"Red,yellow,blue,Orange,braun",Bag,$ 40,2,$80,2020-01-01,2,2,2,✔️ Stock Ok,$80,$200,💲 Value OK,,,,
HANDBAGPINKSTRONG1,Bag hand purple,Handbackpinkstrong1.jpg (https://dl.airtable.com/.attachments/c7894b086f65c94f44d07ee415c2625f/108cd493/Handbackpinkstrong1.jpg),"pink,white,purple",Bag,$ 35,3,$105,2020-01-01,3,3,2,✔️ Stock Ok,$105,$200,💲 Value OK,,,,
HANDBAGRAINBOWSTRONG1,Bag hand rainbow,Handbackrainbowstrong1.jpg (https://dl.airtable.com/.attachments/634da80dfa994666d1e9d475e09f603c/a7a29f71/Handbackrainbowstrong1.jpg),"blue,black,Orange",Bag,$ 35,1,$35,2020-01-01,1,1,2,💣 Critical Stock,$35,$200,💲 Value OK,,,,
HANDBAGTRADITIONAL,Bag hand traditional,Handbacktraductional.jpeg (https://dl.airtable.com/.attachments/fe118a148532fc948eb2198a89e20845/9696c48e/Handbacktraductional.jpeg),"braun,Red",Bag,$ 50,1,$50,2020-01-01,1,1,2,💣 Critical Stock,$50,$200,💲 Value OK,,,,
HANDBAGWHITEGREYSTRONG1,Bag hand red gray,Handbackwhitegreyredstrong1.jpeg (https://dl.airtable.com/.attachments/3d65ecd99aee3c66963bd8722ef70c07/833e21be/Handbackwhitegreyredstrong1.jpeg),"Red,black,white",Bag,$ 35,15,$525,2020-01-01,15,15,10,✔️ Stock Ok,$525,$200,⚠ Value High ⚠,,,,
HANDBAGYELLOWSTRONG1,Bag hand yellow,Handbackyellowstrong1.jpg (https://dl.airtable.com/.attachments/537665ee2da0dec4ad417da1386ed16c/5d5cf8fc/Handbackyellowstrong1.jpg),"green,yellow,black",Bag,$ 35,12,$420,2020-01-01,12,12,10,✔️ Stock Ok,$420,$200,⚠ Value High ⚠,,,,
JOUBYBAG,Bag hand leather,JoubyBag.jpg (https://dl.airtable.com/.attachments/86962feb9ae2d0d98394a3ce85eb0184/4bbd7e23/JoubyBag.jpg),braun,Bag,$ 35,1,$35,2020-01-01,1,1,2,💣 Critical Stock,$35,$200,💲 Value OK,,,,
BAZINBLACKPETROL,Bazin Black Petrol,BazinBlackPetrol.jpg (https://dl.airtable.com/.attachments/122fee3fbf2908a159bbdc71f5486e8d/caa7e7ea/BazinBlackPetrol.jpg),black,Bazin,$ 210,1,$210,2020-01-01,1,1,1,✔️ Stock Ok,$210,$200,⚠ Value High ⚠,,,,
BAZINBLUE,Bazin Blue,BazinBlue.jpg (https://dl.airtable.com/.attachments/aaecad4857ed1bdaf3688808ba5e5f4d/911757bd/BazinBlue.jpg),blue,Bazin,$ 210,2,$420,2020-01-01,2,2,1,✔️ Stock Ok,$420,$200,⚠ Value High ⚠,,,,
BAZINBLUEDEEPSEA,Bazin Blue Deep Sea,BazinBlueDeepSea.jpg (https://dl.airtable.com/.attachments/2f3cc0f8c35d5809cf68d5aac3919e5d/feec49fb/BazinBlueDeepSea.jpg),purple,Bazin,$ 210,1,$210,2020-01-01,1,1,1,✔️ Stock Ok,$210,$200,⚠ Value High ⚠,,,,
BAZINGREENSTAR,Bazin Green Star,BazinGreenStar.jpg (https://dl.airtable.com/.attachments/504f49d2e60d021e9204594070ec97cd/bbfc36eb/BazinGreenStar.jpg),green,Bazin,$ 210,1,$210,2020-01-01,1,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,,,,
BAZINREDBLACK,Bazin Red Black,BazinRedBlack.jpg (https://dl.airtable.com/.attachments/0d7ef8b991333bf11d1c47be9a58375c/facf2517/BazinRedBlack.jpg),"Red,black",Bazin,$ 210,1,$210,2020-01-01,1,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,,,,
BAZINREDBLUE,Bazin Red Blue,BazinRedBlue.jpg (https://dl.airtable.com/.attachments/2e5873b8935e1fd9a8e20756f0c2430c/68211bd8/BazinRedBlue.jpg),"Red,blue",Bazin,$ 210,2,$420,2020-01-01,2,2,1,✔️ Stock Ok,$420,$300,⚠ Value High ⚠,,,,
BAZINREDGOLD,Bazin Red Gold,BazinRedGold.jpg (https://dl.airtable.com/.attachments/3e5a67458e99c7b46d9ab87758691ac8/6187b9b9/BazinRedGold.jpg),"Red,gold",Bazin,$ 210,1,$210,2020-01-01,1,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,,,,
BAZINSILVERBRAUN,Bazin Silver Braun,BazinSilverBraun.jpg (https://dl.airtable.com/.attachments/c2e768a4d199a53a7d4cacba7b9f4a06/9eae5c24/BazinSilverBraun.jpg),"silver,braun",Bazin,$ 210,1,$210,2020-01-01,1,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,,,,
BAZINSTRIPEDYELLOW,Bazin striped yellow,Bazinstriped yellow.jpg (https://dl.airtable.com/.attachments/7ed81e7c77a33963a12193a6db043e7a/83db53ff/Bazinstripedyellow.jpg),yellow,Bazin,$ 210,1,$210,2020-01-01,1,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,,,,
BAZINYELLOWBLACK,Bazin Yellow Black,BazinYellowBlack.jpg (https://dl.airtable.com/.attachments/30454083095dbf226bd2e3932b854a6e/0da6a8a3/BazinYellowBlack.jpg),"yellow,black",Bazin,$ 210,1,$210,2020-01-01,1,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,,,,
BAZINYELLOWGOLD,Bazin Yellow Gold,BazinYellowGold.jpg (https://dl.airtable.com/.attachments/941c78e42ea4ad2ec962a04872714c40/fd101071/BazinYellowGold.jpg),"yellow,white",Bazin,$ 210,1,$210,2020-01-01,1,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,,,,
BAZINYREDBLACK,Bazin Red black,BazinYredblack.jpg (https://dl.airtable.com/.attachments/1276d0cba759afe8e20887bb25b79cc0/66ef5fed/BazinYredblack.jpg),"Red,black",Bazin,$ 210,1,$210,2020-01-01,1,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,,,,
BAZINSTRIPEDYELLOWBLACK,Bazin striped yellow black Special,striped yellowblack.jpg (https://dl.airtable.com/.attachments/5dc7cc787efe0d513fd56442bbe5e13d/3088f4e0/stripedyellowblack.jpg),"yellow,black",Bazin,$ 210,1,$210,2020-01-01,1,1,1,✔️ Stock Ok,$210,$300,💲 Value OK,,,,
CLOTHEMAN0052020,Cloth red black for man,Clotheredblackforman.jpeg (https://dl.airtable.com/.attachments/aa6a1686081a0b475ddae0588ae11537/25a5130b/Clotheredblackforman.jpeg),Red,Cloth,$ 95,2,$190,2020-06-04,2,2,1,✔️ Stock Ok,$190,$200,💲 Value OK,,,,
CLOTHEMAN0062020,Cloth light blue for man,Clothlightblueforman.jpg (https://dl.airtable.com/.attachments/a03d1fe842c792942814433c2307786c/3c7cd7cb/Clothlightblueforman.jpg),white,Cloth,$ 90,2,$180,2020-06-04,2,2,1,✔️ Stock Ok,$180,$200,💲 Value OK,,,,
CLOTHEMAN0062020,Cloth light pink for man,Clothlightpinkforman.jpg (https://dl.airtable.com/.attachments/92a5511ae797f5fb29a06a0a15441bc1/598c9b5c/Clothlightpinkforman.jpg),pink,Cloth,$ 90,2,$180,2020-06-04,2,2,1,✔️ Stock Ok,$180,$200,💲 Value OK,,,,
CLOTHEMAN0102020,Cloth light traditional for man,Clothlighttrad1forman.jpg (https://dl.airtable.com/.attachments/667f857fd70302a28c365d333278eba7/161749c5/Clothlighttrad1forman.jpg),white,Cloth,$ 85,2,$170,2020-06-04,2,2,1,✔️ Stock Ok,$170,$200,💲 Value OK,,,,
CLOTHEMAN0082020,Cloth blue  star for man,Clothlighttrad2forman.jpg (https://dl.airtable.com/.attachments/1151ced3675281a8a25fac5b3cde488a/6a513f93/Clothlighttrad2forman.jpg),blue,Cloth,$ 90,2,$180,2020-06-04,2,2,1,✔️ Stock Ok,$180,$200,💲 Value OK,,,,
CLOTHEMAN0072020,Cloth light blue for man,Clothlighttrad3forman.jpg (https://dl.airtable.com/.attachments/2d41c6f184eec6580c284711a1a81fb6/7861aac9/Clothlighttrad3forman.jpg),"blue,white",Cloth,$ 96,2,$192,2020-06-04,2,2,1,✔️ Stock Ok,$192,$200,💲 Value OK,,,,
CLOTHEMAN0162020,Cloth blue and white for man,Clothlighttrad4forman.jpg (https://dl.airtable.com/.attachments/e4c077229c48134b22a317ca91f85661/5e5fe96f/Clothlighttrad4forman.jpg),blue,Cloth,$ 70,2,$140,2020-06-04,2,2,1,✔️ Stock Ok,$140,$200,💲 Value OK,,,,
CLOTHEMAN0152020,Cloth blue purple for man,Clothlighttrad5forman.jpg (https://dl.airtable.com/.attachments/17fb028eab9e92b00bfedaa5d33f6039/7238b493/Clothlighttrad5forman.jpg),blue,Cloth,$ 50,2,$100,2020-06-04,2,2,1,✔️ Stock Ok,$100,$200,💲 Value OK,,,,
CLOTHEMAN0142020,Cloth blue president for man,Clothlighttrad6forman.jpg (https://dl.airtable.com/.attachments/cf0cd1bc131028267da0ec598550c712/b2a58beb/Clothlighttrad6forman.jpg),blue,Cloth,$ 60,2,$120,2020-06-04,2,2,1,✔️ Stock Ok,$120,$200,💲 Value OK,,,,
CLOTHEMAN0182020,Cloth traditional for man,Clothwithcoloredforman.jpg (https://dl.airtable.com/.attachments/bcf2dc49e5ed78c040d6464fcf4730f0/83650af8/Clothwithcoloredforman.jpg),white,Cloth,$ 40,2,$80,2020-06-04,2,2,1,✔️ Stock Ok,$80,$200,💲 Value OK,,,,
COFFEESSEDANDYELLOWPEARL,Coffee seed and yellow pearl,Coffeessedandyellowpearl.jpg (https://dl.airtable.com/.attachments/0512a93774d8d8b0a67840692a9c7b14/745760eb/Coffeessedandyellowpearl.jpg),yellow,Necklace,$ 70,1,$70,2020-03-12,1,1,1,✔️ Stock Ok,$70,$300,💲 Value OK,,,,
NECKLACECOFFEEBEANSBLUE,Necklace coffee beans blue,Necklacecoffeebeansblue.jpg (https://dl.airtable.com/.attachments/71cdb67097a02a63710dc4db6d16a6a9/0d494561/Necklacecoffeebeansblue.jpg),blue,Necklace,$ 120,1,$120,2020-03-12,1,1,0,✔️ Stock Ok,$120,$300,💲 Value OK,,,,
NECKLACEKENYANBLUEREDPURPLE,Necklace kenyan blue red purple,Necklacekenyanblueredpurple.jpg (https://dl.airtable.com/.attachments/ddf12e81f0d26bb4117af96d8633332a/ade07076/Necklacekenyanblueredpurple.jpg),"Red,purple",Necklace,$ 50,1,$50,2020-03-12,1,1,0,✔️ Stock Ok,$50,$300,💲 Value OK,,,,
NECKLACELOCALPEARL1,Necklace local pearl 1,Necklacelocalpearl1.jpg (https://dl.airtable.com/.attachments/f0512861a9928e6fbc49612e706f8dbf/175743f9/Necklacelocalpearl1.jpg),"white,green,blue",Necklace,$ 60,2,$120,2020-03-12,2,2,0,✔️ Stock Ok,$120,$300,💲 Value OK,,,,
NECKLACELOCALPEARL2,Neck lacelocal pearl 2,Necklacelocalpearl2.jpg (https://dl.airtable.com/.attachments/b76ffcbba99ea050077688291245bccc/678e455c/Necklacelocalpearl2.jpg),"white,green,blue",Necklace,$ 65,3,$195,2020-03-12,3,3,0,✔️ Stock Ok,$195,$300,💲 Value OK,,,,
NECKLACELOCALPEARLBLUE,Necklace local pearl blue,Necklacelocalpearlblue.jpg (https://dl.airtable.com/.attachments/1528ca7ea463b0e8cca1d195ddbcaf56/b4498f92/Necklacelocalpearlblue.jpg),blue,Necklace,$ 90,1,$90,2020-03-12,1,1,0,✔️ Stock Ok,$90,$300,💲 Value OK,,,,
NECKLACEREDBLUEDARKBLUEPEARL,Necklace red blue dark blue pearl,Necklaceredbluedarkbluepearl.jpg (https://dl.airtable.com/.attachments/f86caa89478ec7bf0b69157e7a7832d3/2974d657/Necklaceredbluedarkbluepearl.jpg),"blue,Red",Necklace,$ 95,1,$95,2020-03-12,1,1,0,✔️ Stock Ok,$95,$300,💲 Value OK,,,,
NECKLACEREDBLUEDARKPEARL,Necklace red blue dark pearl,Necklaceredredhearbluedarkbluepearl.jpg (https://dl.airtable.com/.attachments/c53cd488a82076417283416a8facf394/b4423261/Necklaceredredhearbluedarkbluepearl.jpg),"Red,blue",Necklace,$ 90,1,$90,2020-03-12,1,1,0,✔️ Stock Ok,$90,$300,💲 Value OK,,,,
NECKLACEWHITEHEART,Necklace white heart,Necklacewhiteheart.jpg (https://dl.airtable.com/.attachments/67cd861e8bb8c5f457b8cfb7de1611a5/278f40ba/Necklacewhiteheart.jpg),white,Necklace,$ 110,1,$110,2020-03-12,1,1,0,✔️ Stock Ok,$110,$300,💲 Value OK,,,,
NECKLACEYELLOWPEARL,Necklace yellow pearl,Necklaceyellowpearl.jpg (https://dl.airtable.com/.attachments/fed132d57e2a2223faa1ca963392cb1c/54e97bd7/Necklaceyellowpearl.jpg),yellow,Necklace,$ 70,1,$70,2020-03-12,1,1,0,✔️ Stock Ok,$70,$300,💲 Value OK,,,,
NECKLACEYELLOWREADBLUEPEARL,Necklace yellow read blue pearl,Necklaceyellowreadbluepearl.jpg (https://dl.airtable.com/.attachments/2f76c1832bb71f6d0a86edbd9ee75554/afbe3b1d/Necklaceyellowreadbluepearl.jpg),"yellow,Red",Necklace,$ 95,1,$95,2020-03-12,1,1,0,✔️ Stock Ok,$95,$300,💲 Value OK,,,,
NECKLACEYEPBLACK,Neclace Yep black,NeclaceYepblack.jpg (https://dl.airtable.com/.attachments/8a1e6e38d47012b41371601a171fb535/f3b636d6/NeclaceYepblack.jpg),black,Necklace,$ 80,1,$80,2020-03-12,1,1,0,✔️ Stock Ok,$80,$300,💲 Value OK,,,,
NECKLACEYEPBLUE,Neclace Yep blue,NeclaceYepblue.jpg (https://dl.airtable.com/.attachments/f3a6f23fd015ee7af18fa036e8c4672a/f6337783/NeclaceYepblue.jpg),blue,Necklace,$ 80,1,$80,2020-03-12,1,1,0,✔️ Stock Ok,$80,$300,💲 Value OK,,,,
SANDALBLUEYELLOWORANGE,Sandal blue yellow orange,Sandalblueyelloworange.jpg (https://dl.airtable.com/.attachments/3239821209e2c2ee6bddea9ad76fe2da/79c1d688/Sandalblueyelloworange.jpg),yellow,Shoes,$ 40,1,$40,2020-04-04,1,1,1,✔️ Stock Ok,$40,$100,💲 Value OK,,,,
SANDALPEARLBASICCOLOREDBLACK,Sandal Pearl basic colored black,SandalPearlbasiccoloredblack.jpg (https://dl.airtable.com/.attachments/5b9c40a0cbad495b2b67c26d1ed66b66/f4e294fc/SandalPearlbasiccoloredblack.jpg),"black,white",Shoes,$ 45,1,$45,2020-04-04,1,1,1,✔️ Stock Ok,$45,$100,💲 Value OK,,,,
SANDALPEARLBASICRAINBOW,Sandal Pearl basic rainbow,SandalPearlbasicrainbow.jpg (https://dl.airtable.com/.attachments/f1e1d4e3981ded36a53657394c7135b7/515f0bf1/SandalPearlbasicrainbow.jpg),"Red,yellow,green,blue",Shoes,$ 50,1,$50,2020-04-04,1,1,1,✔️ Stock Ok,$50,$100,💲 Value OK,,,,
SANDALPEARLFEETCOVER,Sandal Pearl feet cover,SandalPearlfeetcover.jpg (https://dl.airtable.com/.attachments/c7a8542186664a36312276d348a611d4/96db5951/SandalPearlfeetcover.jpg),"Red,yellow,green,blue",Shoes,$ 50,1,$50,2020-04-04,1,1,1,✔️ Stock Ok,$50,$100,💲 Value OK,,,,
SANDALPEARLFOREVER,Sandal Pearl for Ever,SandalPearlforEver.jpg (https://dl.airtable.com/.attachments/0b223b534d5987d515bd9b709c626305/2744b670/SandalPearlforEver.jpg),"Red,yellow,green,blue",Shoes,$ 50,1,$50,2020-04-04,1,1,1,✔️ Stock Ok,$50,$100,💲 Value OK,,,,
SANDALPEARLWHITE,Sandal Pearl white,SandalPearlwhite.jpg (https://dl.airtable.com/.attachments/bfb9c02b8c5cdfcb0ae4f586bc682bb1/9ac75acf/SandalPearlwhite.jpg),white,Shoes,$ 50,1,$50,2020-04-04,1,1,1,✔️ Stock Ok,$50,$100,💲 Value OK,,,,
SANDALROUNDCIRCLECOLORED,Sandal Round Circle colored,SandalRoundCirclecolored.jpg (https://dl.airtable.com/.attachments/ccd15f436312663c3ffa40ccb82b7347/4321c517/SandalRoundCirclecolored.jpg),"white,yellow",Shoes,$ 45,1,$45,2020-04-04,1,1,1,✔️ Stock Ok,$45,$100,💲 Value OK,,,,
SANDALROUNDCIRCLEORANGE,Sandal Round Circle Orange,SandalRoundCircleOrange.jpg (https://dl.airtable.com/.attachments/1eda768534fa62dbc640abdfb269ddb6/62f9271f/SandalRoundCircleOrange.jpg),"white,yellow,Orange",Shoes,$ 50,1,$50,2020-04-04,1,1,1,✔️ Stock Ok,$50,$100,💲 Value OK,,,,
SANDALWHITEBLACKROUND,Sandal White Black Round,SandalWhiteBlackRound.jpg (https://dl.airtable.com/.attachments/34977b5bdedc03c2da0f2ed7d2f1a054/e6c235a9/SandalWhiteBlackRound.jpg),"white,black",Shoes,$ 47,1,$47,2020-04-04,1,1,1,✔️ Stock Ok,$47,$100,💲 Value OK,,,,
PINESAPENCENS,Pine Sap for encens,Chewing-gum-oliban.jpg (https://dl.airtable.com/.attachments/3430e59b00d07816e5d808d13f1c8b81/a9f5d40b/Chewing-gum-oliban.jpg),yellow,Spirit,$ 5,53,$265,2020-04-08,53,53,10,✔️ Stock Ok,$265,$200,⚠ Value High ⚠,,,,
PURENCENS,Pur encens from Lebanon,Encens.jpeg (https://dl.airtable.com/.attachments/a2bb2dc824f9594d07280ac030bb6c5a/f0955a17/Encens.jpeg),yellow,Spirit,$ 5,18,$90,2020-04-08,18,18,10,✔️ Stock Ok,$90,$200,💲 Value OK,,,,
,,,,,,,$0,,0,,,✔️ Stock Ok,$0,,💲 Value OK,,,,
,,,,,,,$0,,0,,,✔️ Stock Ok,$0,,💲 Value OK,,,,